,dic,lex
244,ḅụkụrọma,BB UH K UH R OH M A
245,sọnị,S OH N IH
246,oyi,O Y I
247,anga,A N G A
248,jerusalẹm,DZ E R U S A L EH M
249,ọkịmun,OH K IH M U N
250,pakaḅo,P A K A BB O
251,yimẹ,Y I M EH
252,iḅi,I BB I
253,vinpịkị,V I N P IH K IH
254,ḅaasam,BB A A S A M
255,ịpịamgba,IH P IH A M GB A
256,ḅo,BB O
257,oloko,O L O K O
258,akụ,A K UH
259,yi,Y I
260,koroma,K O R O M A
261,judia,DZ U D I A
262,ta,T A
263,amanyanakiri,A M A N Y A N A K I R I
264,ama,A M A
265,ḍukoarị,DD U K O A R IH
266,hẹzrọn,H EH Z R OH N
267,ị̀ḅụ,IH0 BB UH
268,ị́,IH2
269,ḅụchụaye,BB UH TS UH A Y E
270,ḅikẹ,BB I K EH
271,magbọlụ,M A GB OH L UH
272,ọ̀,OH0
273,tọrọkọịsụn,T OH R OH K OH IH S UH N
274,eremenitọkụ,E R E M E N I T OH K UH
275,dinma,D I N M A
276,lolia,L O L I A
277,karakaramasam,K A R A K A R A M A S A M
278,fịnjị,F IH N DZ IH
279,solomọn,S O L O M OH N
280,oruwu,O R U W U
281,saramẹ,S A R A M EH
282,babilọn,B A B I L OH N
283,karakaraye,K A R A K A R A Y E
284,mine,M I N E
285,nyanamẹ,N Y A N A M EH
286,ḅomẹ,BB O M EH
287,mangị,M A N G IH
288,ọkịḅo,OH K IH BB O
289,ḍie,DD I E
290,ị̀ya,IH0 Y A
291,simemẹ,S I M E M EH
292,ọkụma,OH K UH M A
293,ineina,I N E I N A
294,ḍụparị,DD UH P A R IH
295,nyọ,N Y OH
296,naa,N A A
297,ḅarị,BB A R IH
298,owuapụmịnapụ,O W U A P UH M IH N A P UH
299,áḅụ,A2 BB UH
300,chịngbọlụ,TS IH N GB OH L UH
301,ma,M A
302,jokuma,DZ O K U M A
303,olokuaḅẹ,O L O K U A BB EH
304,ḅoẹ,BB O EH
305,tọnmẹ,T OH N M EH
306,awọmẹnị,A W OH M EH N IH
307,fiearịye,F I E A R IH Y E
308,ḅaḅịa,BB A BB IH A
309,gbelamẹ,GB E L A M EH
310,so,S O
311,amanyanaḅọ,A M A N Y A N A BB OH
312,ḅieḅẹlẹ,BB I E BB EH L EH
313,òria,O0 R I A
314,namaichuka,N A M A I TS U K A
315,koko,K O K O
316,ḅie,BB I E
317,chịngị,TS IH N G IH
318,naamẹ,N A A M EH
319,ẹrẹchị,EH R EH TS IH
320,yesẹlẹ,Y E S EH L EH
321,ḅiarị,BB I A R IH
322,tụḅọ,T UH BB OH
323,meri,M E R I
324,sẹ,S EH
325,ḍawọju,DD A W OH DZ U
326,pịrịẹ,P IH R IH EH
327,ḅiẹ,BB I EH
328,kuḅie,K U BB I E
329,nyọngọrọẹ,N Y OH N G OH R OH EH
330,tamụnọ,T A M UH N OH
331,nemimẹ,N E M I M EH
332,ḍieapụ,DD I E A P UH
333,ḍiki,DD I K I
334,nama,N A M A
335,mịẹyeẹ,M IH EH Y E EH
336,kọnsam,K OH N S A M
337,simekaogbo,S I M E K A O GB O
338,datekeremaḅịa,D A T E K E R E M A BB IH A
339,hẹrọd,H EH R OH D
340,shealtiẹl,S H E A L T I EH L
341,wasama,W A S A M A
342,ebraham,E B R A H A M
343,tisam,T I S A M
344,inimgba,I N I M GB A
345,ḅalafa,BB A L A F A
346,anịanga,A N IH A N G A
347,kụrọ,K UH R OH
348,ḍawọ,DD A W OH
349,karakarama,K A R A K A R A M A
350,nde,N D E
351,fịmẹ,F IH M EH
352,ọkụẹ,OH K UH EH
353,gịẹịn,G IH EH IH N
354,matan,M A T A N
355,izrẹlapụ,I Z R EH L A P UH
356,furo,F U R O
357,ị́ri,IH2 R I
358,kirikiri,K I R I K I R I
359,oria,O R I A
360,ịrụa,IH R UH A
361,sime,S I M E
362,onwu,O NW U
363,ḅọịma,BB OH IH M A
364,tema,T E M A
365,nazarẹt,N A Z A R EH T
366,ḅeẹ,BB E EH
367,iọna,I OH N A
368,ḅọ,BB OH
369,damaḅo,D A M A BB O
370,tọkụ,T OH K UH
371,ogbo,O GB O
372,ọgọnọ,OH G OH N OH
373,ḍọkịḅịa,DD OH K IH BB IH A
374,akịm,A K IH M
375,simeọkụẹ,S I M E OH K UH EH
376,ḍina,DD I N A
377,ḅuosọmẹ,BB U O S OH M EH
378,fiema,F I E M A
379,ḅụgererema,BB UH G E R E R E M A
380,ḅụọ,BB UH OH
381,sakị,S A K IH
382,arịa,A R IH A
383,àrị,A0 R IH
384,gbin,GB I N
385,sara,S A R A
386,igbiki,I GB I K I
387,pakụmamẹ,P A K UH M A M EH
388,agbamịẹapụ,A GB A M IH EH A P UH
389,mesi,M E S I
390,kun,K U N
391,fịsam,F IH S A M
392,amịnadab,A M IH N A D A B
393,ọrị,OH R IH
394,iwo,I W O
395,à,A0
396,sadusiapụ,S A D U S I A P UH
397,se,S E
398,tọnapụ,T OH N A P UH
399,owuḅọnemika,O W U BB OH N E M I K A
400,nazarẹtḅọ,N A Z A R EH T BB OH
401,ḍaḍiki,DD A DD I K I
402,chịẹ,TS IH EH
403,soḅie,S O BB I E
404,ḅẹḅịa,BB EH BB IH A
405,fịnị,F IH N IH
406,jizọs,DZ I Z OH S
407,jẹsi,DZ EH S I
408,maa,M A A
409,yeẹ,Y E EH
410,gbẹịnyeẹ,GB EH IH N Y E EH
411,mịẹse,M IH EH S E
412,koḅirima,K O BB I R I M A
413,munyeẹ,M U N Y E EH
414,owuapụawọ,O W U A P UH A W OH
415,siḅụpịkịsam,S I BB UH P IH K IH S A M
416,ideri,I D E R I
417,kpeki,KP E K I
418,chịnmgbọlụ,TS IH N M GB OH L UH
419,asa,A S A
420,mama,M A M A
421,awọ,A W OH
422,jin,DZ I N
423,anịsịkị,A N IH S IH K IH
424,bọrọ,B OH R OH
425,mangịso,M A N G IH S O
426,ḍọkị,DD OH K IH
427,pakaḅomẹ,P A K A BB O M EH
428,ḍọkịapụ,DD OH K IH A P UH
429,jọn,DZ OH N
430,gbọrị,GB OH R IH
431,omiẹ,O M I EH
432,chịnḅịa,TS IH N BB IH A
433,onwuele,O NW U E L E
434,mangịsoḅịa,M A N G IH S O BB IH A
435,mengisara,M E N G I S A R A
436,ịḅụḅẹlẹmẹ,IH BB UH BB EH L EH M EH
437,goyegoye,G O Y E G O Y E
438,ḅokatẹịnkẹ,BB O K A T EH IH N K EH
439,bẹtlihẹm,B EH T L I H EH M
440,elịakịm,E L IH A K IH M
441,gose,G O S E
442,farisiapụ,F A R I S I A P UH
443,enekakaa,E N E K A K A A
444,kụra,K UH R A
445,kpẹrẹkị,KP EH R EH K IH
446,mọnọ,M OH N OH
447,deki,D E K I
448,pa,P A
449,ḅụgbẹịnkẹ,BB UH GB EH IH N K EH
450,chụaḅịa,TS UH A BB IH A
451,ịkịankoroapụ,IH K IH A N K O R O A P UH
452,boaz,B O A Z
453,kọn,K OH N
454,pịrịsa,P IH R IH S A
455,ịrụapakapaka,IH R UH A P A K A P A K A
456,ḅuru,BB U R U
457,josẹf,DZ O S EH F
458,fịye,F IH Y E
459,pakụmaḅomẹ,P A K UH M A BB O M EH
460,makuḅie,M A K U BB I E
461,manasị,M A N A S IH
462,amọn,A M OH N
463,pakapaka,P A K A P A K A
464,kuḅiekụrọma,K U BB I E K UH R OH M A
465,ominea,O M I N E A
466,dọkịmaḅịa,D OH K IH M A BB IH A
467,ḅụ,BB UH
468,fị,F IH
469,epele,E P E L E
470,ị́rị,IH2 R IH
471,ọ́,OH2
472,nwọ,NW OH
