,dic,lex
191,babilon,B A B I L OH N
192,bipi,BB IH P IH
193,simekaogbo,S I M E K A O GB O
194,galili,G A L I L I
195,lolia,L O L I A
196,nemi,N E M I
197,ma,M A
198,amon,A M OH N
199,ideri,I D E R I
200,jesi,DZ EH S I
201,mimgba,M IH M GB A
202,chingbolu,TS IH N GB OH L UH
203,kokomaye,K OH K OH M A Y E
204,konme,K OH N M EH
205,bere,BB EH R EH
206,izrel,I Z R EH L
207,enekakaa,E N E K A K A A
208,pakasome,P A K A S O M EH
209,oku,OH K UH
210,oria,O R I A
211,gboribo,GB OH R IH BB OH
212,mae,M A EH
213,oyiineina,O Y I I N E I N A
214,jekob,DZ E K OH B
215,mie,M IH EH
216,tomoni,T O M O N I
217,pakumame,P A K UH M A M EH
218,bari,BB A R IH
219,aniatibi,A N IH A T IH B IH
220,ineda,I N E D A
221,chinbia,TS IH N BB IH A
222,sara,S A R A
223,amanyanakiri,A M A N Y A N A K I R I
224,aizaya,A IH Z A Y A
225,mine,M I N E
226,sarame,S A R A M EH
227,tamuno,T A M UH N OH
228,piri,P IH R IH
229,boaz,B O A Z
230,abiud,A B I U D
231,imanuel,I M A N UH EH L
232,kun,K U N
233,buo,BB UH OH
234,iona,I OH N A
235,piribein,P IH R IH BB E I N
236,ipiamgba,IH P IH A M GB A
237,koromari,K O R O M A R IH
238,taro,T A R OH
239,tibini,T IH BB IH N IH
240,toroko,T OH R OH K OH
241,boko,BB OH K OH
242,mengisara,M E N G I S A R A
243,izrelapu,I Z R EH L A P UH
244,anierechi,A N IH EH R EH TS IH
245,nyo,N Y OH
246,ye,Y E
247,oki,OH K IH
248,da,D A
249,muari,M U A R IH
250,i,IH0
251,biari,BB I A R IH
252,bome,BB O M EH
253,owutibi,O W U T IH BB IH
254,baasam,BB A A S A M
255,mieyee,M IH EH Y E EH
256,paka,P A K A
257,yime,Y I M EH
258,sime,S I M E
259,dachieme,D A TS IH EH M EH
260,mangisobia,M A N G IH S O BB IH A
261,selebia,S EH L EH BB IH A
262,so,S O
263,nwo,NW OH
264,nyanabo,N Y A N A BB OH
265,siki,S IH K IH
266,bebia,BB EH BB IH A
267,salmon,S A L M OH N
268,fisam,F IH S A M
269,ateli,A T E L I
270,gbori,GB OH R IH
271,aminadab,A M IH N A D A B
272,o,O0
273,kirikiri,K I R I K I R I
274,omine,O M I N E
275,mangi,M A N G IH
276,nama,N A M A
277,berenime,BB E R E N I M EH
278,ene,E N E
279,ba,BB A
280,biejudaboe,BB I E DZ U DD A BB OH EH
281,ikiankorobo,IH K IH A N K O R O BB OH
282,damaboari,D A M A BB O A R IH
283,abaija,A B A IH DZ A
284,sadusiapu,S A D U S I A P UH
285,chuaka,TS UH A K A
286,die,DD I E
287,tubo,T UH BB OH
288,si,S I
289,babia,BB A BB IH A
290,simeme,S I M E M EH
291,nemime,N E M I M EH
292,jin,DZ I N
293,oruwu,O R U W U
294,ori,O R I
295,boroma,BB OH R OH M A
296,aku,A K UH
297,bike,BB I K EH
298,nyongoroe,N Y OH N G OH R OH EH
299,tema,T E M A
300,ebraham,E B R A H A M
301,sarabia,S A R A BB IH A
302,kura,K UH R A
303,rufu,R U F U
304,eliud,E L I U D
305,min,M IH N
306,inia,I N I A
307,dadiki,DD A DD I K I
308,gbelame,GB E L A M EH
309,damamunma,D A M A M U N M A
310,karakarama,K A R A K A R A M A
311,konsam,K OH N S A M
312,beleme,BB EH L EH M EH
313,damabo,D A M A BB O
314,agbamieapu,A GB A M IH EH A P UH
315,bebo,BB EH BB OH
316,iya,IH0 Y A
317,piribia,P IH R IH BB IH A
318,akilos,A K IH L OH S
319,joram,DZ O R A M
320,bukuroma,BB UH K UH R OH M A
321,farisiapu,F A R I S I A P UH
322,jehosiafat,DZ E H O S IH A F A T
323,tarime,T A R IH0 M EH
324,barasinsam,BB A R A S I N S A M
325,kuro,K UH R OH
326,gonogono,G O N O G O N O
327,manasi,M A N A S IH
328,josaya,DZ O S A Y A
329,fini,F IH N IH
330,naa,N A A
331,orime,OH R IH M EH
332,ogbo,O GB O
333,akim,A K IH M
334,lasa,L A S A
335,azo,A Z OH
336,kraist,K R A IH S T
337,nwose,NW OH S E
338,mi,M I
339,dabe,D A BB EH
340,pirie,P IH R IH EH
341,akpaka,A KP A K A
342,namaichuka,N A M A I TS U K A
343,dokiapu,DD OH K IH A P UH
344,koroma,K O R O M A
345,yela,Y E L A
346,ineina,I N E I N A
347,bakama,B A K A M A
348,chinme,TS IH N M EH
349,diepakuma,DD I E P A K UH M A
350,inimgba,I N I M GB A
351,owu,O W U
352,amaogbo,A M A O GB O
353,yibia,Y I BB IH A
354,kon,K OH N
355,sima,S I M A
356,dinma,D I N M A
357,mamgba,M A M GB A
358,bo,BB OH
359,olokuabe,O L O K U A BB EH
360,din,DD I N
361,sobia,S OH BB IH A
362,fi,F IH
363,mengisarabo,M E N G I S A R A BB OH
364,eremenitoku,E R E M E N I T OH K UH
365,herod,H EH R OH D
366,mangiso,M A N G IH S O
367,simebia,S I M E BB IH A
368,na,N A
369,osi,O S I
370,anisiki,A N IH S IH K IH
371,okibo,OH K IH BB O
372,ama,A M A
373,fieariye,F I E A R IH Y E
374,buru,BB U R U
375,pakabobia,P A K A BB O BB IH A
376,igoniapu,I G O N I A P UH
377,tari,T A R IH
378,chin,TS IH N
379,wasama,W A S A M A
380,awomeni,A W OH M EH N IH
381,mgba,M GB A
382,anianga,A N IH A N G A
383,ojuapura,O DZ U A P UH R A
384,nyongoro,N Y OH N G OH R OH
385,bara,BB A R A
386,yuraya,Y U R A Y A
387,judia,DZ U D I A
388,omie,O M I EH
389,igbiki,I GB I K I
390,juapu,DZ U A P UH
391,munyee,M U N Y E EH
392,bu,BB UH
393,kpeki,KP E K I
394,oloko,O L O K O
395,opu,O P U
396,seni,S E N I
397,finjie,F I N DZ I EH
398,iderimaigoniapu,I D E R I M A I G O N I A P UH
399,awo,A W OH
400,obudukoapu,OH BB UH DD U K O A P UH
401,weri,W EH R IH
402,dokibo,DD OH K IH BB O
403,abu,A2 BB UH
404,datekeremabia,D A T E K E R E M A BB IH A
405,dupari,DD UH P A R IH
406,rechel,R E TS EH L
407,deki,D E K I
408,nyaname,N Y A N A M EH
409,boro,BB OH R OH
410,bie,BB I EH
411,nason,N A S OH N
412,apala,A P A L A
413,iriayee,IH R IH A Y E EH
414,fiafia,F IH A F IH A
415,ram,R A M
416,nazaret,N A Z A R EH T
417,dawu,DD A W U
418,onwuele,O NW U E L E
419,hezron,H EH Z R OH N
420,onwu,O NW U
421,sise,S IH S EH
422,pakapaka,P A K A P A K A
423,furo,F U R O
424,amanyana,A M A N Y A N A
425,ani,A0 N IH
426,giein,G IH EH IH N
427,dokime,DD OH K IH M EH
428,bokateinke,BB O K A T EH IH N K EH
429,anga,A N G A
430,mesaya,M EH S A Y A
431,tonapu,T OH N A P UH
432,fime,F IH M EH
433,gbolomake,GB O L O M A K EH
434,owuapuminapu,O W U A P UH M IH N A P UH
435,mengi,M E N G I
436,bia,BB IH A
437,pakabo,P A K A BB O
438,zadok,Z A D OH K
439,mume,M U M EH
440,ominea,O M I N E A
441,a,A2
442,ra,R A
443,torokoisun,T OH R OH K OH IH S UH N
444,bebe,BB EH BB EH
445,buosome,BB U O S OH M EH
446,boima,BB OH IH M A
